ds,yhat,yhat_lower,yhat_upper
2018-08-21,3805.430763978559,-3188.8299126373654,10416.424551590999
2018-08-22,3816.6861584466,-3430.8988041523976,10592.77755711366
2018-08-23,3620.3039075139645,-3059.1255813351186,10476.072226495759
2018-08-24,3569.969645202832,-3189.8815610679685,10633.557011730225
2018-08-25,3472.4590709650547,-3476.188935359161,10516.085957692057
2018-08-26,3362.5091235761124,-3545.103964653373,10054.153633314485
2018-08-27,3318.0964921958434,-3524.188434038947,10264.350783699905
2018-08-28,3192.9771873458276,-3323.701467487357,9924.158288090099
2018-08-29,3186.409040377377,-3503.4881818943463,10310.084071529376
2018-08-30,2974.3399461791805,-3664.814550259314,10227.06253058221
2018-08-31,2910.8214413288474,-3798.411936939188,9254.598382594577
2018-09-01,2802.9582608237993,-3528.3099082278914,8993.8216584068
2018-09-02,2685.768304017371,-3743.0548989949434,9608.367516103262
2018-09-03,2637.451867638801,-4030.4873528529874,9485.133373643495
2018-09-04,2511.9241871185154,-4192.632971114086,9182.302598448014
2018-09-05,2508.533386292124,-4094.9833117667945,9375.661144168947
2018-09-06,2303.24678758639,-4864.009570054849,8861.341516611166
2018-09-07,2250.065214164521,-4853.325575804686,8717.542352337427
2018-09-08,2155.9758678716425,-5037.061527181311,8898.172403928278
2018-09-09,2055.8180587017123,-4469.8967521938375,8847.514117552188
2018-09-10,2027.5603993475963,-4761.997252158974,8214.500563161902
2018-09-11,1924.8431816896823,-4857.0370250199785,8637.904504903438
2018-09-12,1946.7076428703656,-5234.650308353328,8454.868034931067
2018-09-13,1768.7946269895924,-4936.976736056826,8905.022502447237
2018-09-14,1744.771790346459,-5473.650541155665,8122.931004434837
2018-09-15,1681.2994305229752,-5054.567991223549,8337.412681493335
2018-09-16,1612.908709606208,-5186.724645147081,8407.857481859746
2018-09-17,1617.2903960412823,-4678.6236343297605,8486.360713150265
2018-09-18,1547.8473868165051,-4959.0018052438,8486.383780879056
2018-09-19,1603.4323129742872,-5381.943990083417,8405.744122925922
2018-09-20,1459.5523949518533,-5691.10424326055,7813.959150276038
2018-09-21,1469.8004339075028,-5393.986270856426,8235.708613159355
2018-09-22,1440.8218451131174,-5055.125949298343,8813.239924938793
2018-09-23,1407.1914239498442,-5443.018610856408,8234.041589110677
2018-09-24,1446.6979873233036,-5307.785146420451,8147.567930827568
2018-09-25,1412.8902688600072,-5230.358034325244,8380.410271209488
2018-09-26,1504.8055826887737,-5652.564520062036,7652.170079231517
2018-09-27,1398.1637228592842,-5881.306819980974,8201.39928182128
2018-09-28,1446.785364190177,-5192.833583165184,8147.879730699904
2018-09-29,1457.5453170104192,-5053.9845142955,7900.716241559031
2018-09-30,1465.2348245940111,-5168.695163798779,7625.293164463226
2018-10-01,1547.8315795383785,-5158.272116455822,8165.392427381726
2018-10-02,1559.0313878858576,-4896.067285241178,7963.461274636454
2018-10-03,1697.963544294974,-5048.664450802325,8343.977576361147
2018-10-04,1640.372912810078,-4886.482557468586,8594.160663975012
2018-10-05,1740.0284668409226,-5274.039895186204,8686.479140222538
2018-10-06,1803.6690714479578,-5110.077419711286,8559.630058234223
2018-10-07,1865.8610543232585,-4877.861627846265,8773.035758745473
2018-10-08,2004.266512653536,-4123.716195234314,9281.983625847333
2018-10-09,2072.1764580395675,-4640.951146552067,8750.894010176402
2018-10-10,2268.230930833731,-5004.0965728152405,9122.514755704722
2018-10-11,2267.609036719751,-4460.413229773092,9037.71316576791
2018-10-12,2423.448506902931,-4141.267846560574,9523.371700868709
2018-10-13,2541.805305022109,-3469.5020830447243,9314.333967903685
2018-10-14,2656.5274659683746,-4213.776052936968,9284.117883021154
2018-10-15,2844.5416612063723,-4507.403652018573,9603.822233523051
2018-10-16,2958.406061941368,-3667.3823522012603,9310.072589116522
2018-10-17,3196.051038212978,-3216.541107662624,10457.634912709556
2018-10-18,3231.9900092359912,-3531.1042306316012,10093.611236324745
2018-10-19,3418.7593845141,-3389.8033549788397,10165.649485134603
2018-10-20,3561.89745374268,-3161.9689883210685,10372.340020293857
2018-10-21,3694.8357638425155,-3113.7983708217876,10328.14269849046
2018-10-22,3894.200870468626,-2779.9673067109347,10419.582374436126
2018-10-23,4012.37948803805,-2687.4671953968154,11146.283930314014
